question,tag1,tag2,tag3
how to handle fear of failure,,,
how to handel failure,resilience,perseverance,
I feel very lazy and sleepy in class...,,,
how to manage studies and bhakti,time management,balance,
How to start a thing again where you failed.? And how to motivate yourself,,,
How to deal with procrastination?,,,
How to sto worrying about the future?,,,
Most of the time I am confused to take the decision,decision making,clarity,
"As a college student, the life gets busier which eventually leads to tiredness and loss of peace. What changes should a person bring in his daily lifestyle to accommodate peace and increase productivity?",productivity,,
"If I work hard but remain detached from results as taught in the Bhagavad Gita, how can I stay ambitious and competitive in today’s world where outcomes matter",detachment,shraddha and detachment,karma
"We know that we are doing something wrong and still cannot came out of it, Even if we try to get out of that loop we tend to fall back to same cycle How to break that cycle",,,
How to choose whats correct than what feels good,decision making,self-control,duty
From Which vaishnava sampradaya are you taking bhahvad gita as reference,faith,devotion,spiritual guidance
I am feeling with anxiety and always in sad mood. I always tried to show happy unnatural lly,sadness,,
Is it wrong to cut off people who hurt me emotionally?,detachment,letting go,emotional hurt
How to get job,success,direction,purpose
I'm feeling distraction what to do,mindfulness,mind control,clarity
How can I be disciplined to work towards achieving my goals? I just can't get up and work.,procrastination,,
what should I do if my emotional brain is struggling to process things while my logical brains has already processed stuff and found a solution,heart vs mind,emotional regulation,balance
How do I control my mind when it keeps jumping between tasks?,,,
"I always wanted to make my passion my profession and I tried hard to find a goal, a dream, something I am truly passionate about but I couldn’t find any",direction,self-discovery,
Who are the four types of people trying to attain the supreme?,devotion,faith,
people say acceptance of the situation will help you but isn't it also the struggle ?? so rather then accepting as it is do the struggle of not accepting it.,surrender,letting go,perseverance
I feel confused about my purpose in life. How do I discover my true purpose and what I am meant to do?,life purpose,,
Every being is trapped by the maya. The illusions of various desires and responsibilities. How to bring balance in the self and understand the illusion of the reality.,,,
My life is filled with confusion..what should I do??,clarity,direction,spiritual guidance
What is mood off and it's reasons and solution for this,sadness,depression,emotional well-being
What should be the ideal goal of a human being in his life,,,
What's the true freedom of the soul looks / feels like? How do one recognise it in daily life,freedom,enlightenment,self-awareness
How to stay motivated to work?,,,
List few verses mentioned in Bhagavad Gita,duty,devotion,
"When achieving goals depend on luck and not hardworking, how to stay motivated.",perseverance,karma,
Who is Krishna,,,
"Is rebirth true, what should I do to avoid rebirth",spiritual evolution,liberation,detachment
"""Can we go back to old relationships",,,
sometimes i feel like I’m lacking behind and would not make it up,self-doubt,self-worth,
How to deal when parents come in our way towards a dream,,,
"I feel quite distracted nowadays. There are lots of things coming running at me right now. It has also become impossible for me to manage all of them, and sometimes I even feel I won't be able to achieve in anything. Right now I'm staying in hostel, and hostel food is not that good, so it's impossible for me to maintain a proper diet, and my health and fitness has also deteriorated during my stay in the hostel. Due to this my sleep cycle has been totally affected. I am staying totally stressed. There are a whole lot of things I need to do, but still I am procrastinating sometimes. I'm quite confused how to get my life on the track again, tackle all of the obstacles that I am currently facing, fulfill my duties, and become an achiever.",stress,time management,self-doubt
Tell me about Krishna's life lessons,duty,,
Why do people with good heart usually suffer?,empathy,emotional hurt,karma
What kind of seva is best seva to serve humanity,service,duty,devotion
Mind is feeling restless thinking about my future feeling like I wasn't good enough and capable cause the competition is very high feels like I am not enough,self-doubt,fear of failure,stress
What my purpose,meaning,direction,
"I am confused about my situation and think about what to choose , how can I choose one thing",,,
