tag,shloka_ref,title,translation
addiction,15.2,"Chapter 15, Verse 2","The branches of this tree extend downward and upward, nourished by the three modes of material nature. The twigs are the objects of the senses. This tree also has roots going down, and these are bound"
anger,2.15,"Chapter 2, Verse 15","O best among men, the person who is not disturbed by happiness and distress and is steady in both is certainly eligible for liberation."
anger,2.62,"Chapter 2, Verse 62","When a person constantly thinks about sense objects, attachment to them develops. From attachment arises desire, and from desire comes anger."
anger,4.10,"Chapter 4, Verse 10","Freed from attachment, fear, and anger, fully absorbed in Me and taking refuge in Me, purified by the fire of knowledge, many in the past have attained My state of being."
anxiety,18.66,"Chapter 18, Verse 66",Abandon all varieties of religion and just surrender unto Me. I shall deliver you from all sinful reactions. Do not fear.
anxiety,2.3,"Chapter 2, Verse 3","O Partha, do not give in to this weakness. It does not suit you. Give up this petty faint-heartedness and arise, O conqueror of enemies."
attachment,11.27,"Chapter 11, Verse 27",All the warriors rush into Your terrifying mouths with dreadful teeth. Some are seen trapped between Your teeth with their heads crushed to pieces.
attachment,11.33,"Chapter 11, Verse 33","Therefore arise and gain glory. Conquer your enemies and enjoy a prosperous kingdom. These warriors have already been slain by Me. O skilled archer, you are merely an instrument in this process."
attachment,11.34,"Chapter 11, Verse 34","Drona, Bhishma, Jayadratha, Karna, and many other great warriors have already been slain by Me. Therefore defeat them and do not be disturbed. Fight, and you will conquer your enemies in battle."
attachment,12.19,"Chapter 12, Verse 19","One who regards praise and criticism equally, who is thoughtful and restrained in speech, content with whatever comes, unattached to fixed possessions or residence, steady in mind and devoted, such a "
attachment,13.10,"Chapter 13, Verse 10","Non-attachment, absence of entanglement with children, spouse, home, and the rest, and constant even-mindedness amid desirable and undesirable events."
attachment,13.22,"Chapter 13, Verse 22",The living entity (Purusha) situated in material nature (Prakriti) thus experiences the qualities (gunas) born of material nature. It is this attachment to the modes of nature that is the cause of its
attachment,14.6,"Chapter 14, Verse 6","Of these, the mode of goodness, being pure, is illuminating and free from disease. It binds the soul by attachment to happiness and attachment to knowledge, O sinless one."
attachment,14.7,"Chapter 14, Verse 7","O son of Kunti, know that the mode of passion is characterized by intense craving, born of unlimited desires and longings. It binds the embodied soul through attachment to the results of action."
attachment,15.1,"Chapter 15, Verse 1","The Supreme Lord said: They speak of an eternal ashvattha tree with its roots upward and branches downward, whose leaves are the Vedic hymns. One who knows this tree is the knower of the Vedas."
attachment,15.16,"Chapter 15, Verse 16","There are two classes of beings in this world: the perishable and the imperishable. All living entities in the material world are perishable, but the steadfast, unchanging reality is called imperishab"
attachment,15.2,"Chapter 15, Verse 2","The branches of this tree extend downward and upward, nourished by the three modes of material nature. The twigs are the objects of the senses. This tree also has roots going down, and these are bound"
